id_gene,id_string,gene,Cyte_vs_Gonia,Cyte_vs_Tid,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_CyteTid,logFC_CyteTid,FDR_CyteTid,biotype
ENSMUSG00000000001,10090.ENSMUSP00000000001,Gnai3,True,True,7.62801450767261,-2.02165293016119,1.9522157469632385e-265,5.289762291020059,-1.0811968315818499,5.26052479598639e-48,protein_coding
ENSMUSG00000000028,10090.ENSMUSP00000000028,Cdc45,True,True,5.30200013084829,1.46633443131803,1.6214728641855194e-119,5.03754074073513,-0.690449579956395,6.8503115843114995e-22,protein_coding
ENSMUSG00000000037,10090.ENSMUSP00000076593,Scml2,True,True,5.442759460300031,-2.75285199175293,4.026703915478988e-251,4.06005251392619,1.88062036403853,3.369007600909139e-83,protein_coding
ENSMUSG00000000049,10090.ENSMUSP00000000049,Apoh,True,True,3.04569934861239,3.65707990143907,1.2182876992911396e-161,5.54581313241011,2.87750894327919,1.978341976529019e-286,protein_coding
ENSMUSG00000000056,10090.ENSMUSP00000099304,Narf,True,True,2.6111485626861097,-1.59218506679259,5.11080402289269e-32,1.37941791685657,0.780001948507758,8.34980786165764e-05,protein_coding
ENSMUSG00000000078,10090.ENSMUSP00000000080,Klf6,True,True,9.753164777679881,-6.2218810736435,0.0,3.3838962571331,-1.7697939798458502,3.5252464501926094e-53,protein_coding
ENSMUSG00000000085,10090.ENSMUSP00000101908,Scmh1,True,True,6.50923284562847,1.85938271923491,2.050393824456409e-152,6.71652491755008,0.19656115248375602,0.00672981237594574,protein_coding
ENSMUSG00000000088,10090.ENSMUSP00000000090,Cox5a,True,True,6.7283240383908405,1.6274690151918603,8.343604214165756e-188,6.804741506389611,0.0543960842892522,0.38632518325651793,protein_coding
ENSMUSG00000000093,10090.ENSMUSP00000000095,Tbx2,True,False,3.56171638739528,-3.50941165656192,3.270303785955789e-166,,,,protein_coding
ENSMUSG00000000103,10090.ENSMUSP00000111557,Zfy2,False,True,,,,2.8676107658501295,2.46182411874478,7.153935242977731e-44,protein_coding
ENSMUSG00000000120,10090.ENSMUSP00000000122,Ngfr,True,True,3.79331310695484,3.0622240093779505,3.799673721807949e-93,4.46954440189092,0.5690207988307211,1.4305804588200799e-06,protein_coding
ENSMUSG00000000125,10090.ENSMUSP00000000127,Wnt3,False,True,,,,4.32928439706909,3.16318436404504,4.678880998274499e-131,protein_coding
ENSMUSG00000000127,10090.ENSMUSP00000000129,Fer,True,True,6.06753183296222,1.20251088869633,4.53329054153758e-81,6.05403794222658,0.100551538179914,0.165415020642074,protein_coding
ENSMUSG00000000131,10090.ENSMUSP00000009344,Xpo6,True,True,7.9218876452406395,1.31442087439324,1.9865020079183295e-118,8.00305744926103,0.24314027790191398,6.676976162944809e-05,protein_coding
ENSMUSG00000000134,10090.ENSMUSP00000076864,Tfe3,True,True,5.16749136685471,-4.261968662742991,0.0,1.45651028376976,0.446375404537642,0.0145357718910487,protein_coding
ENSMUSG00000000142,10090.ENSMUSP00000051331,Axin2,True,False,3.71107579212365,-3.5753970218322,8.885672457942477e-184,,,,protein_coding
ENSMUSG00000000148,10090.ENSMUSP00000036016,Brat1,True,True,3.67661636319834,-0.317177759331695,0.00142661622132143,3.00387415671391,0.14853195684436302,0.30894061017963,protein_coding
ENSMUSG00000000149,10090.ENSMUSP00000000153,Gna12,True,True,6.82166003067244,-1.5381147153801298,1.6470811716799597e-118,5.18703390513374,-0.195190593403145,0.0310871483417725,protein_coding
ENSMUSG00000000154,10090.ENSMUSP00000101537,Slc22a18,False,True,,,,3.4350908670932103,-0.534117513119575,0.00011572520442529399,protein_coding
ENSMUSG00000000167,10090.ENSMUSP00000000171,Pih1d2,True,True,6.41239951365592,4.88820483245268,0.0,6.62235106712723,-0.48754834956829496,4.2174466611053396e-11,protein_coding
ENSMUSG00000000168,10090.ENSMUSP00000034567,Dlat,True,True,6.859755227782509,2.0141811288182803,1.1364746231475198e-190,6.668394648976291,-0.7688216656074159,3.17462833536784e-29,protein_coding
ENSMUSG00000000171,10090.ENSMUSP00000000175,Sdhd,True,True,5.2426126675694595,1.0284032115336899,4.914112054957889e-44,4.60436170349625,-1.48159981433405,4.09136995591282e-67,protein_coding
ENSMUSG00000000184,10090.ENSMUSP00000000188,Ccnd2,True,False,7.35962322496205,-7.13398407711838,0.0,,,,protein_coding
ENSMUSG00000000194,10090.ENSMUSP00000056739,Gpr107,True,True,6.02217232418135,0.8044037338211891,6.89932482510327e-42,5.70251946031551,-0.251923037123944,0.000402670915191709,protein_coding
ENSMUSG00000000223,10090.ENSMUSP00000115246,Drp2,True,False,2.06424470138557,-2.12391522459648,4.48373489778633e-34,,,,protein_coding
ENSMUSG00000000247,10090.ENSMUSP00000000253,Lhx2,True,True,0.9562561509846179,0.323480027538755,0.154995609746175,2.11105085056565,2.43425059126709,2.7225092403394996e-51,protein_coding
ENSMUSG00000000253,10090.ENSMUSP00000000260,Gmpr,True,True,2.2647963420609,-1.55883650704494,1.2101466478577e-18,1.5189273877315101,1.5156083999359797,6.44024253511241e-19,protein_coding
ENSMUSG00000000266,10090.ENSMUSP00000108612,Mid2,True,False,5.229217279823,-5.418437315217531,0.0,,,,protein_coding
ENSMUSG00000000275,10090.ENSMUSP00000103528,Trim25,True,True,5.56637817907991,-3.71086985980258,0.0,1.64073828259297,-1.65635014973039,8.54443483484695e-18,protein_coding
ENSMUSG00000000276,10090.ENSMUSP00000103526,Dgke,True,True,5.27520350378302,-1.09429425317783,2.6568457653150096e-66,3.62238099919819,-1.120160236087,5.23042487107802e-29,protein_coding
ENSMUSG00000000278,10090.ENSMUSP00000000287,Scpep1,True,True,5.69294944547683,0.0290439279185645,0.664939115651403,4.508100087064411,-2.0012665232036997,6.274830749373619e-107,protein_coding
ENSMUSG00000000282,10090.ENSMUSP00000000291,Mnt,True,True,5.42839063162133,0.153891366574016,0.0510855427993794,5.537699341664621,1.0379648165411801,6.36128796208844e-35,protein_coding
ENSMUSG00000000290,10090.ENSMUSP00000000299,Itgb2,True,False,1.56552305333534,-1.55437147851282,5.95540966943962e-16,,,,protein_coding
ENSMUSG00000000295,10090.ENSMUSP00000000304,Hddc2,True,True,2.70125195458283,-2.33960860713532,3.93828069614617e-55,0.493552531728885,0.00178546059018384,0.994607520210865,protein_coding
ENSMUSG00000000296,10090.ENSMUSP00000000305,Tpd52l1,True,True,4.04575327398479,-1.58562901814378,3.663152279430149e-61,2.11113319934393,-0.862966763488272,1.58595039276261e-07,protein_coding
ENSMUSG00000000301,10090.ENSMUSP00000099753,Pemt,True,True,2.7171937811575897,2.1410600931415003,2.4383575080760004e-41,2.8696615539817594,-0.237882250055689,0.142379527797229,protein_coding
ENSMUSG00000000305,10090.ENSMUSP00000000314,Cdh4,True,False,1.5199930509964699,-1.13269134240402,4.0537774304400404e-08,,,,protein_coding
