id_gene,id_string,gene,Cyte_vs_Gonia,Tid_vs_Cyte,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_TidCyte,logFC_TidCyte,FDR_TidCyte,biotype
ENSMUSG00000000001,10090.ENSMUSP00000000001,Gnai3,True,True,7.62801450767261,-2.02165293016119,1.9522157469632374e-265,5.289762291020058,-1.08119683158185,5.26052479598639e-48,protein_coding
ENSMUSG00000000168,10090.ENSMUSP00000034567,Dlat,True,True,6.859755227782509,2.0141811288182803,1.1364746231475195e-190,6.6683946489762915,-0.7688216656074159,3.17462833536784e-29,protein_coding
ENSMUSG00000000276,10090.ENSMUSP00000103526,Dgke,True,True,5.27520350378302,-1.09429425317783,2.656845765315009e-66,3.62238099919819,-1.120160236087,5.23042487107802e-29,protein_coding
ENSMUSG00000000278,10090.ENSMUSP00000000287,Scpep1,True,True,5.69294944547683,0.0290439279185645,0.664939115651403,4.5081000870644115,-2.0012665232037,6.274830749373618e-107,protein_coding
ENSMUSG00000000365,10090.ENSMUSP00000093469,Rnf17,True,True,7.73269672412155,3.6682443245560097,1.9783465078e-313,8.21725302063899,0.271287730003098,0.0007278442924559059,protein_coding
ENSMUSG00000000532,10090.ENSMUSP00000000544,Acvr1b,True,True,4.67738539067668,0.544844187447218,3.4437190848364e-14,3.69238429116515,-2.42517284014116,3.490372297263568e-86,protein_coding
ENSMUSG00000000823,10090.ENSMUSP00000104417,Zfp512b,True,True,6.83677837758471,1.70239804896205,1.0167887733631193e-149,6.60681325203697,-0.6848678069292641,1.1002100393311898e-22,protein_coding
ENSMUSG00000000958,10090.ENSMUSP00000000984,Slc7a7,True,True,2.7110843910479,1.20021529199125,1.25569664048773e-21,2.72600296761535,0.057325734896761,0.660867137349129,protein_coding
ENSMUSG00000001138,10090.ENSMUSP00000001166,Cnnm3,True,True,3.1412816670506096,-1.5051589706862802,2.11121577390468e-21,1.12899343809144,-1.44168742064134,4.27810799687866e-12,protein_coding
ENSMUSG00000001175,10090.ENSMUSP00000105709,Calm1,True,True,10.7460576515572,1.96897604692522,2.423540835147648e-232,10.5501688892156,-0.691933017982194,7.817416870712288e-32,protein_coding
ENSMUSG00000001228,10090.ENSMUSP00000001258,Uhrf1,True,True,6.40130842814379,1.41709426165082,4.384907066799468e-116,6.15278542119147,-0.5554922495828721,2.10802496103094e-14,protein_coding
ENSMUSG00000001415,10090.ENSMUSP00000001451,Smg5,True,True,7.86747143317555,1.70345185257535,3.003586944648019e-92,7.754201329328329,-0.370429986644271,2.0484024493106998e-06,protein_coding
ENSMUSG00000001416,10090.ENSMUSP00000001452,Cct3,True,True,9.32802528202776,1.5726109732249098,1.7444354964476382e-222,9.1879465235366,-0.342933374240183,1.2908004957663099e-11,protein_coding
ENSMUSG00000001440,10090.ENSMUSP00000001479,Kpnb1,True,True,9.663671392116347,0.23380729061735,4.8977196013494595e-06,8.6319175003861,-1.5770954575550602,9.176545474220361e-178,protein_coding
ENSMUSG00000001785,10090.ENSMUSP00000001836,Pwp1,True,True,6.7369424461842895,-0.633246965894147,2.12924458246773e-31,5.31899365167646,-1.3317383681228705,1.759197757863349e-73,protein_coding
