id_gene,id_string,gene,UpCyte_vs_Gonia,DownCyte_vs_Tid,logCPM_up,logFC_up,FDR_up,logCPM_down,logFC_down,FDR_down,biotype
ENSG00000005469,9606.ENSP00000413575,CROT,True,True,1.99869409282013,-0.8370281761185729,0.512701047049125,1.06646404675859,-8.80830657612765,0.000100688140765356,protein_coding
ENSG00000007516,9606.ENSP00000324510,BAIAP3,True,True,4.77783731459994,-0.40536256791204,0.709713855194881,4.04780757878836,-6.10436129994972,0.000304649282183712,protein_coding
ENSG00000015413,9606.ENSP00000376807,DPEP1,True,True,4.3027815290909,1.04348661660493,0.34735562300085,4.18373985761729,-4.978759396661781,0.000397383656147896,protein_coding
ENSG00000033627,9606.ENSP00000264649,ATP6V0A1,True,True,6.934777253721008,0.67923355863612,0.262506824460087,6.77116689096907,-3.28501608980129,0.00397191108128642,protein_coding
ENSG00000033867,9606.ENSP00000295736,SLC4A7,True,True,5.27117411844961,-0.493686131771906,0.5046309684163189,4.47765179180638,-3.99937288988882,0.00042158185060300803,protein_coding
ENSG00000050438,9606.ENSP00000405812,SLC4A8,True,True,8.37209391396631,1.89983531690012,0.000314210529496513,8.587070555024,-2.07358084412091,0.00224357353288362,protein_coding
ENSG00000065135,9606.ENSP00000358867,GNAI3,True,True,5.525968675050452,-0.144334495448663,0.8499436411797221,4.98379873752375,-3.27287209862325,0.00168978585053556,protein_coding
ENSG00000066322,9606.ENSP00000477602,ELOVL1,True,True,4.36638538191638,-1.16670515779509,0.319772710055169,3.17141046850313,-8.84511523105612,9.08870202388784e-05,protein_coding
ENSG00000067057,9606.ENSP00000370517,PFKP,True,True,7.53536091193424,1.5691249581475402,0.0151826546208603,8.30848735662629,0.645800841154711,0.29656462192734,protein_coding
ENSG00000067113,9606.ENSP00000264775,PLPP1,True,True,3.47606267997672,-0.7883925623821271,0.467194949069686,2.56204667210027,-4.53371749948935,0.00239886895169278,protein_coding
ENSG00000069424,9606.ENSP00000367323,KCNAB2,True,True,3.3053404330931,-0.235199388643776,0.86056303309748,2.67545233074659,-5.2790728052907,0.00132496721411382,protein_coding
ENSG00000072518,9606.ENSP00000385751,MARK2,True,True,5.505402757771879,-2.775668209225,0.0009427401475689519,3.0428008863029103,-10.8627279124879,4.38323905973753e-07,protein_coding
ENSG00000072778,9606.ENSP00000438689,ACADVL,True,True,7.00536517618824,1.54097795699696,0.0162506532322019,7.34122652547814,-0.7269339665400179,0.35028733335995005,protein_coding
ENSG00000073060,9606.ENSP00000261693,SCARB1,True,True,6.2191468013271605,0.8365952861722329,0.306682121383952,6.020392681273942,-3.48226566746615,7.17717374181842e-05,protein_coding
ENSG00000073417,9606.ENSP00000311453,PDE8A,True,True,6.48474457882128,0.276410145895228,0.720459240477578,6.1251227708307185,-2.97249659684056,0.00564897277461134,protein_coding
ENSG00000075886,9606.ENSP00000326042,TUBA3D,True,True,6.9370550301166105,3.06900878425192,0.00035714332191080496,7.136479032084909,-3.03527666117006,0.000130553952740011,protein_coding
ENSG00000078668,9606.ENSP00000428845,VDAC3,True,True,5.938185756304481,1.69435555629334,0.0135345652093785,6.35617554191682,-0.579737245898666,0.6046930357912329,protein_coding
ENSG00000081052,9606.ENSP00000379866,COL4A4,True,True,3.2352125300213395,-1.29812459472748,0.297142344799002,1.94799115175991,-9.73670088247927,0.000107772255280194,protein_coding
ENSG00000081320,9606.ENSP00000263955,STK17B,True,True,5.7113299375585695,1.0470247451431898,0.21602097180571694,5.49946566865404,-9.48749309183034,4.518115362467191e-10,protein_coding
ENSG00000088833,9606.ENSP00000418529,NSFL1C,True,True,5.09842203814598,1.47364119481953,0.056767156426965,5.068922361292099,-2.76025067336864,0.0301683890086884,protein_coding
ENSG00000092148,9606.ENSP00000382269,HECTD1,True,True,8.0645830895792,-1.88104806263177,0.00212019653892121,6.4673145931073615,-2.00733809729536,0.0409602159970074,protein_coding
ENSG00000097046,9606.ENSP00000393139,CDC7,True,True,5.8312400859423805,0.744704704244,0.407091076985004,5.50668005242486,-3.47745688569313,0.0037433027577151797,protein_coding
ENSG00000100121,9606.ENSP00000419751,GGTLC2,True,True,3.84958944390397,2.41970148872694,0.025007380851107004,5.49210291207015,2.0707995431352297,0.031587641352226005,protein_coding
ENSG00000100221,9606.ENSP00000216039,JOSD1,True,True,5.761016447828388,-2.51290448008334,0.00319355865472495,3.57777637465315,-11.406018756187803,3.80576166521735e-07,protein_coding
ENSG00000100387,9606.ENSP00000216225,RBX1,True,True,6.236623455273241,0.4768082119211,0.533885785724289,5.99581198431959,-2.54691420535657,0.0041793105570665,protein_coding
ENSG00000102967,9606.ENSP00000219240,DHODH,True,True,4.45837078578355,1.6052510057572902,0.0528005232195929,4.46780405704986,-9.03999908086198,5.930278644053521e-09,protein_coding
ENSG00000103064,9606.ENSP00000455064,SLC7A6,True,True,3.8886074547616296,1.21752789200164,0.29025389474680896,3.89356345943488,-3.80005439984262,0.0143055399401561,protein_coding
ENSG00000103249,9606.ENSP00000372193,CLCN7,True,True,2.56632120146934,1.21146772393326,0.266845317800023,2.46633332044946,-10.2719817850199,8.529635540246961e-06,protein_coding
ENSG00000103540,9606.ENSP00000370803,CCP110,True,True,7.8066867071468495,2.04871895524631,0.00123885175819299,7.950008642525151,-3.25258573919855,0.0002616931457622891,protein_coding
ENSG00000104381,9606.ENSP00000220822,GDAP1,True,True,4.75817259684523,-0.2636765223174,0.808597105878967,4.08933956684067,-4.42849435229913,0.00261071755400062,protein_coding
