id_gene,id_string,gene,Cyte_vs_Gonia,Tid_vs_Cyte,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_TidCyte,logFC_TidCyte,FDR_TidCyte,biotype
ENSMUSG00000002068,10090.ENSMUSP00000103658,Ccne1,True,True,3.36507607877345,1.19210906923992,1.22369273886536e-28,2.9975932173768403,-0.902024145731013,1.91249442430141e-15,protein_coding
ENSMUSG00000002190,10090.ENSMUSP00000105457,Clgn,True,True,10.8070603696852,9.60393881773762,0.0,11.1702676176286,-0.149431311200989,0.00541242659966823,protein_coding
ENSMUSG00000003153,10090.ENSMUSP00000032476,Slc2a3,True,True,10.8285980973583,7.52813178029028,0.0,10.5060723008044,-2.4256257785926003,0.0,protein_coding
ENSMUSG00000004980,10090.ENSMUSP00000110103,Hnrnpa2b1,True,True,10.075930384029899,-0.199009419755684,0.00239927360833349,8.850461392630061,-1.4875802991838,2.9498963229747186e-105,protein_coding
ENSMUSG00000005674,10090.ENSMUSP00000005817,Tomm40l,True,True,2.76861157738077,-1.07588729852972,7.14449168199492e-13,1.14300784125869,-1.12877406145707,1.69272600034734e-05,protein_coding
ENSMUSG00000006205,10090.ENSMUSP00000006367,Htra1,True,True,7.41856879516143,-4.67342318465269,0.0,2.52588580021982,-1.98053765670098,2.3866508676724398e-20,protein_coding
ENSMUSG00000006390,10090.ENSMUSP00000006557,Elovl1,True,True,4.437543900779558,-2.50813571954413,1.8719210337811089e-143,1.63284579666964,-1.34634941039487,1.18081164204127e-13,protein_coding
ENSMUSG00000006720,10090.ENSMUSP00000100043,Zfp184,True,True,3.54787505921433,1.37909507862557,5.577684271135839e-28,3.59368343362423,0.0192317037984749,0.875746854647509,protein_coding
ENSMUSG00000007033,10090.ENSMUSP00000007248,Hspa1l,True,True,5.83203162018628,7.1698534573001504,0.0,8.84915678274514,3.4087894077453704,0.0,protein_coding
ENSMUSG00000008822,10090.ENSMUSP00000008966,Acyp1,True,True,6.60724010969982,7.16998705046683,0.0,6.85132635026733,-0.486973516384139,4.5963620510063896e-10,protein_coding
