id_gene,id_string,gene,Middle_vs_Apical,Basal_vs_Middle,logCPM_MiddleApical,logFC_MiddleApical,FDR_MiddleApical,logCPM_BasalMiddle,logFC_BasalMiddle,FDR_BasalMiddle,biotype
FBgn0000447,7227.FBpp0289671,Dhod,True,True,8.28485841853276,1.3391275169423402,1.18630863503163e-43,8.55851223646219,0.228118661547632,0.129741248353702,protein_coding
FBgn0000567,7227.FBpp0099825,Eip74EF,True,True,2.33439554615992,1.11025456162082,0.00410184687001582,2.35270583065535,-0.27994901122217897,0.725091271030521,protein_coding
FBgn0001216,7227.FBpp0075504,Hsc70-1,True,True,8.796020902965571,1.5998676626402102,6.433904877118418e-62,9.170075818747632,0.286963872559055,0.0417396019218517,protein_coding
FBgn0001217,7227.FBpp0082175,Hsc70-2,True,True,10.1819884279454,1.13245422197326,8.765568358128449e-33,10.3071108629055,0.0697671002516462,0.7178040241223571,protein_coding
FBgn0001258,7227.FBpp0304375,Ldh,True,True,4.5531015253557,1.72452913109422,3.12072394208228e-19,5.1143375298413885,0.475512018734462,0.0686361774354905,protein_coding
FBgn0003450,7227.FBpp0111746,snk,True,True,1.04470773987482,0.193093232543745,0.741926977059265,0.10571709074027,-6.69861898371407,2.62916111684046e-05,protein_coding
FBgn0003651,7227.FBpp0082035,svp,True,True,3.80067066070571,1.0502681183300602,1.81179280935929e-05,3.97834289862902,0.111229166521246,0.8377023547626992,protein_coding
FBgn0003885,7227.FBpp0081062,alphaTub84D,True,True,9.388303225282261,1.33165130485854,7.808590420792698e-42,9.627690551296787,0.172345850172382,0.268131488622718,protein_coding
FBgn0003886,7227.FBpp0081565,alphaTub85E,True,True,6.7849890976191,2.7521278731801804,2.869765671975289e-11,7.500347036648541,0.480255559252581,0.0233921046873326,protein_coding
FBgn0003943,7227.FBpp0073035,Ubi-p63E,True,True,11.037339908420998,1.14863411965407,7.325918004240188e-34,11.2045221634885,0.141884881068835,0.395375237676536,protein_coding
FBgn0004903,7227.FBpp0084463,Rb97D,True,True,7.7120951892955985,-1.92549575514964,2.0782083361512397e-69,5.63730662459479,-1.10999992034005,5.7921208533372306e-08,protein_coding
FBgn0004915,7227.FBpp0305673,TfIIB,True,True,6.74490861294846,-1.60650275276588,5.5322384169986206e-43,4.82020671228574,-1.4864895152708,1.73772269825226e-08,protein_coding
