,logFC,logCPM,LR,PValue,FDR
ENSG00000231050.1,2.49803019003381,2.80454380061369,7.12835271172632,0.00758744028576711,0.0382447683877223
ENSG00000236423.5,2.84725639558247,2.98204177622863,11.960993753271,0.000543258889386872,0.006583149682468921
ENSG00000235054.3,4.73919633803164,3.2547324626113796,14.812838731054,0.00011872447560733301,0.0025616859438343602
ENSG00000230679.1,4.53197357432321,2.2877493931390696,19.598344769377,9.55519437871643e-06,0.000576342228104295
ENSG00000142583.17,2.25212267976623,7.1070839770314596,14.352566120277,0.000151572966627966,0.0029843812491365
ENSG00000175279.21,1.92486040696433,3.4412153223061095,7.674924177422019,0.00559934461085601,0.0311685281110494
ENSG00000009724.16,2.2631748656288098,4.08735127812819,11.286454841173699,0.000780746263187295,0.00845329092057778
ENSG00000116661.10,3.93954462266987,3.0557075682351695,12.865373638836902,0.00033471805971258,0.00472922209823925
ENSG00000132879.13,2.35920797408347,3.60079291885723,8.4179851040192,0.00371527295135058,0.0237006263846023
ENSG00000242349.5,2.3195669789504905,2.8306606645026897,7.0304194385812995,0.00801365812720861,0.0397974757684569
ENSG00000235084.3,3.1071778450895797,2.20574409929128,11.2607436265535,0.0007916349118748379,0.008508496243654759
ENSG00000219481.10,1.68455691841067,6.751115856901691,9.80097982342883,0.00174418912406144,0.0142903280235444
ENSG00000215908.10,1.69227671221726,4.83838239190275,8.16283492626547,0.00427574845996358,0.0260133510934555
ENSG00000186301.8,2.18559451763706,3.86565899249696,7.513052910893309,0.00612534627081331,0.0331235370397016
ENSG00000053372.4,2.9246060563614,4.37624352308687,15.0055821780408,0.00010719362594574699,0.00239997917370221
ENSG00000235185.1,2.8502043351039905,2.28500843566958,7.859364502803169,0.00505581594371617,0.0290576543365173
ENSG00000162543.5,1.65631776957474,6.960986135414901,6.71330078555068,0.00956964297755775,0.0447996752772143
ENSG00000218510.7,3.04350659585931,2.79680844514758,13.9474832351375,0.000187989165320476,0.00338025011947218
ENSG00000117616.17,1.86833982722098,4.50879119974642,7.9267179110034,0.0048710073989040705,0.0284054237385586
ENSG00000158006.13,2.55118309861241,4.32368205639649,9.806380838407689,0.00173907408558813,0.0142628780281746
ENSG00000060642.10,2.34653575651443,6.5543683342229295,21.678658366902,3.22357754750647e-06,0.000292747927277764
ENSG00000090273.13,1.4680062410657502,6.28942369058452,6.93781181268232,0.00843922906357542,0.0411708293483408
ENSG00000180098.9,2.56967076674588,3.4062483619206296,6.4688473778824696,0.0109781710497301,0.049213015812225994
ENSG00000121774.17,1.3021483807378,6.63857240105069,9.30891533604499,0.0022804144674695103,0.0169484597088021
ENSG00000162526.6,3.0790752016836804,3.59081409331733,12.6782874121284,0.000369926240285967,0.0051197411594372
ENSG00000134698.10,1.95295186055982,6.229187477198139,13.7201019905413,0.00021217134940803702,0.00361406729523806
ENSG00000284748.1,3.15285308617252,2.9615536512974705,8.04086115059334,0.00457337902678029,0.0272341478033095
ENSG00000134690.10,2.84592381368907,5.87399995902707,17.0766020102025,3.5901911861412605e-05,0.0012507638043959802
ENSG00000183317.16,2.0207869069425,5.593806168017969,11.7299573168328,0.000615020030886305,0.00715752253367683
ENSG00000117399.13,1.6796079908974901,5.969727437080651,8.68895249595673,0.00320144563517112,0.0213519927020253
ENSG00000126091.20,1.4066818779866102,6.3436011722474195,6.6802252728721205,0.00974883031976705,0.0453626488540686
ENSG00000117407.16,2.7407310193243397,2.32060357150021,6.45344544932842,0.0110737388840265,0.0494631083338736
ENSG00000280670.2,2.09333926419099,3.48013385013508,6.9579420989337,0.00834479599102229,0.0408929182842671
ENSG00000117480.15,2.21544011296984,5.810953375791461,11.1283143309953,0.000850198212925539,0.008924258103153379
ENSG00000186094.16,3.2381377579740698,4.32833385191917,13.382866421129,0.00025393334852553197,0.0040322520421564
ENSG00000237478.2,2.6616496660345,2.76599301711205,7.570383586004031,0.00593351550665272,0.0324147611237044
ENSG00000185104.19,1.1918728361075,6.9805735336502694,6.64595611315812,0.009938113125699609,0.0460314036323594
ENSG00000143006.7,2.16476664896642,7.000517787139111,13.5025548031474,0.000238238879096244,0.0038703124107675796
ENSG00000162600.11,3.05366693780483,4.11794333635961,12.291225182609802,0.000455092887162291,0.00580629559666807
ENSG00000162604.12,2.07911283016464,4.5578097993738,9.25441017914604,0.0023492898639587397,0.0172798200938755
ENSG00000125703.14,2.0708516829255603,2.3665746244978,7.096886230818599,0.00772179835823945,0.0387129452062569
ENSG00000116652.6,2.67797077117486,2.67424407903042,7.81526298340284,0.00518068085691534,0.0295712238884309
ENSG00000116754.13,1.05395600285351,7.93152409205527,6.67391668463372,0.00978339574919061,0.04549729352291901
ENSG00000234497.5,2.89615633638512,5.04830076917314,13.030606545144598,0.00030644128351479,0.004532134810628171
ENSG00000162643.12,1.5996354377138102,6.719163658076191,8.59089693570217,0.0033784756112158,0.0222004301850827
ENSG00000240038.6,2.13338502629821,1.01613161200324,6.66311471260721,0.009842872804928841,0.0456950140412621
ENSG00000031698.12,1.49045201400334,5.309103357352099,6.7537911281101595,0.00935487042107519,0.0441176596424608
ENSG00000134202.10,1.64850203436994,7.909231202865469,12.8854367706094,0.000331148852523995,0.00471260671195742
ENSG00000224699.8,2.01667273871999,6.45165668440615,9.936597745475561,0.0016202473825953699,0.0135846986201525
ENSG00000260948.1,3.01712010256865,2.87935063978774,9.51782436491229,0.00203485681710869,0.0157781073087056
ENSG00000121933.18,1.71604925581546,6.160340298845121,6.591475720778179,0.010246819734076,0.0469234677057615
ENSG00000231128.5,2.63299077321558,2.50071618156978,12.488326090790999,0.00040950295886993,0.00545722615839441
ENSG00000226167.1,3.5100680978318195,2.02931984891987,12.121092013980801,0.0004985470030013009,0.00618383838107098
ENSG00000188761.11,2.19906818282716,1.27156508844457,7.82986222699898,0.0051390016671077204,0.0293852005478586
ENSG00000270231.3,2.78385906755948,2.46131760099823,8.50654137237711,0.00353872026036334,0.0229272196427949
ENSG00000272150.5,2.21783152774152,4.24014947012466,9.82913204437035,0.00171769384790785,0.0141593682057269
ENSG00000023902.13,1.16659169797216,6.92135541893432,7.5643437976219,0.00595343267320602,0.0324687041708419
ENSG00000143452.15,2.24251030600168,6.99431305284003,14.048713170122198,0.000178135681829978,0.0032473867156341
ENSG00000143443.9,1.8217942251211203,7.337233385223451,7.280550915881441,0.00697051549296087,0.0361387517214688
ENSG00000261168.1,4.26163902960161,3.4587563641785,10.263821916905,0.00135664339904713,0.0121227974270851
ENSG00000159352.15,1.3754293194912801,5.9086201285277,6.92564951816383,0.008496812749018241,0.0413458693822637
ENSG00000143390.17,2.12706054729941,5.34160512144127,9.4629129865807,0.00209667844902117,0.0160610084599739
ENSG00000272654.1,3.7203873340311198,2.54594011988868,9.78162946967592,0.0017626403827049198,0.0143759242111125
ENSG00000163239.12,2.52985607131803,6.86180147310964,19.470368643466198,1.0217243270071199e-05,0.000600588136220728
ENSG00000163463.11,2.7079142278200696,3.1157404840037204,14.5927550987037,0.000133426528853524,0.0027722877106905104
