,logFC,logCPM,LR,PValue,FDR
ENSG00000236423.5,2.84725639558247,2.98204177622863,11.960993753271,0.000543258889386872,0.006583149682468921
ENSG00000235054.3,4.73919633803164,3.2547324626113796,14.812838731054,0.00011872447560733301,0.0025616859438343602
ENSG00000230679.1,4.53197357432321,2.2877493931390696,19.598344769377,9.55519437871643e-06,0.000576342228104295
ENSG00000142583.17,2.25212267976623,7.1070839770314596,14.352566120277,0.000151572966627966,0.0029843812491365
ENSG00000009724.16,2.2631748656288098,4.08735127812819,11.286454841173699,0.000780746263187295,0.00845329092057778
ENSG00000116661.10,3.93954462266987,3.0557075682351695,12.865373638836902,0.00033471805971258,0.00472922209823925
ENSG00000235084.3,3.1071778450895797,2.20574409929128,11.2607436265535,0.0007916349118748379,0.008508496243654759
ENSG00000053372.4,2.9246060563614,4.37624352308687,15.0055821780408,0.00010719362594574699,0.00239997917370221
ENSG00000218510.7,3.04350659585931,2.79680844514758,13.9474832351375,0.000187989165320476,0.00338025011947218
ENSG00000060642.10,2.34653575651443,6.5543683342229295,21.678658366902,3.22357754750647e-06,0.000292747927277764
ENSG00000162526.6,3.0790752016836804,3.59081409331733,12.6782874121284,0.000369926240285967,0.0051197411594372
ENSG00000134698.10,1.95295186055982,6.229187477198139,13.7201019905413,0.00021217134940803702,0.00361406729523806
ENSG00000134690.10,2.84592381368907,5.87399995902707,17.0766020102025,3.5901911861412605e-05,0.0012507638043959802
ENSG00000183317.16,2.0207869069425,5.593806168017969,11.7299573168328,0.000615020030886305,0.00715752253367683
ENSG00000117480.15,2.21544011296984,5.810953375791461,11.1283143309953,0.000850198212925539,0.008924258103153379
ENSG00000186094.16,3.2381377579740698,4.32833385191917,13.382866421129,0.00025393334852553197,0.0040322520421564
ENSG00000143006.7,2.16476664896642,7.000517787139111,13.5025548031474,0.000238238879096244,0.0038703124107675796
ENSG00000162600.11,3.05366693780483,4.11794333635961,12.291225182609802,0.000455092887162291,0.00580629559666807
ENSG00000234497.5,2.89615633638512,5.04830076917314,13.030606545144598,0.00030644128351479,0.004532134810628171
ENSG00000134202.10,1.64850203436994,7.909231202865469,12.8854367706094,0.000331148852523995,0.00471260671195742
ENSG00000231128.5,2.63299077321558,2.50071618156978,12.488326090790999,0.00040950295886993,0.00545722615839441
ENSG00000226167.1,3.5100680978318195,2.02931984891987,12.121092013980801,0.0004985470030013009,0.00618383838107098
ENSG00000143452.15,2.24251030600168,6.99431305284003,14.048713170122198,0.000178135681829978,0.0032473867156341
