,logFC,logCPM,LR,PValue,FDR
ENSG00000131591.17,-2.51628676858658,5.383959192419749,5.9110326236563004,0.0150463494534417,0.0396278005317777
ENSG00000221978.11,-2.6559451426758303,5.078106026611599,6.67283263927488,0.00978934798156687,0.0276742438978587
ENSG00000248333.8,-2.7302093542422003,3.9797400921475603,6.3542117293528,0.0117102961767239,0.0321361582629675
ENSG00000189339.11,-7.27354532429766,2.6218844275335096,15.911582988907401,6.63712853213561e-05,0.000429828557900148
ENSG00000231050.1,-3.49786422890869,2.85154123173688,6.6503413321077005,0.00991368309845372,0.0279499909559524
ENSG00000178821.12,-4.1956523639000896,2.7161544130508797,7.3427002572975,0.00673356177057442,0.0202874541592446
ENSG00000269896.2,-7.451934118442741,3.3157738891701096,29.005060457833398,7.2189472350762e-08,1.95792286909737e-06
ENSG00000235054.3,-11.431173173498001,3.60092062283424,22.703225997221498,1.89050216363694e-06,2.44628815277486e-05
ENSG00000131697.17,-6.548341051447831,5.3967561077063095,25.649585509793802,4.0938341107202397e-07,7.49210315458531e-06
ENSG00000069424.14,-5.2790728052907,2.67545233074659,13.3756640040583,0.000254910365137008,0.00132496721411382
ENSG00000116237.15,-11.327717507797301,3.5003217458268194,33.2316593641357,8.18077093204797e-09,3.66136747886147e-07
ENSG00000162408.10,-3.4695806403895997,2.7435528089591803,9.48398418535876,0.00207273346587368,0.0076112479097516905
ENSG00000173662.20,-4.06471203205445,1.62252359302782,7.384023305001531,0.00658057957251126,0.019933316419616
ENSG00000116273.5,-6.240923176842901,4.622001649839549,27.493021228091997,1.5766238891844302e-07,3.53398290268265e-06
ENSG00000041988.15,-9.954405760100661,2.15733421226596,24.3372193293653,8.086146179241921e-07,1.25035608137628e-05
ENSG00000238290.1,-10.1481070864905,2.34553094256488,23.762275272292598,1.08997987795286e-06,1.58596750267369e-05
ENSG00000171603.16,-7.89262000328558,2.7330655694924104,25.392173977055396,4.6781210842496207e-07,8.24967490552784e-06
ENSG00000130939.18,-4.34414094002067,5.1650095908657,12.078021693417199,0.000510197058689486,0.0023662046213707697
ENSG00000175279.21,-2.38867026162411,3.6634420317382004,5.936804612119559,0.0148278777751871,0.0391741380302576
ENSG00000142655.12,-11.027211697395,3.2038119431096805,28.5415776021757,9.170787643848119e-08,2.3289335437869703e-06
