id_gene,id_string,gene,Cyte_vs_Gonia,Cyte_vs_Tid,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_CyteTid,logFC_CyteTid,FDR_CyteTid,biotype
ENSMUSG00000000001,10090.ENSMUSP00000000001,Gnai3,True,True,7.62801450767261,-2.02165293016119,1.9522157469632374e-265,5.289762291020058,-1.08119683158185,5.26052479598639e-48,protein_coding
ENSMUSG00000000028,10090.ENSMUSP00000000028,Cdc45,True,True,5.30200013084829,1.46633443131803,1.621472864185519e-119,5.03754074073513,-0.690449579956395,6.8503115843114995e-22,protein_coding
ENSMUSG00000000037,10090.ENSMUSP00000076593,Scml2,True,True,5.442759460300031,-2.75285199175293,4.0267039154789864e-251,4.06005251392619,1.88062036403853,3.369007600909138e-83,protein_coding
ENSMUSG00000000056,10090.ENSMUSP00000099304,Narf,True,True,2.6111485626861097,-1.59218506679259,5.11080402289269e-32,1.37941791685657,0.780001948507758,8.34980786165764e-05,protein_coding
ENSMUSG00000000078,10090.ENSMUSP00000000080,Klf6,True,True,9.753164777679881,-6.2218810736435,0.0,3.3838962571331,-1.7697939798458502,3.525246450192609e-53,protein_coding
ENSMUSG00000000085,10090.ENSMUSP00000101908,Scmh1,True,True,6.50923284562847,1.85938271923491,2.050393824456409e-152,6.71652491755008,0.196561152483756,0.00672981237594574,protein_coding
ENSMUSG00000000088,10090.ENSMUSP00000000090,Cox5a,True,True,6.7283240383908405,1.6274690151918605,8.343604214165751e-188,6.804741506389611,0.0543960842892522,0.3863251832565179,protein_coding
ENSMUSG00000000127,10090.ENSMUSP00000000129,Fer,True,True,6.06753183296222,1.20251088869633,4.53329054153758e-81,6.05403794222658,0.100551538179914,0.165415020642074,protein_coding
ENSMUSG00000000131,10090.ENSMUSP00000009344,Xpo6,True,True,7.921887645240639,1.31442087439324,1.9865020079183286e-118,8.00305744926103,0.243140277901914,6.676976162944809e-05,protein_coding
ENSMUSG00000000134,10090.ENSMUSP00000076864,Tfe3,True,True,5.16749136685471,-4.261968662742992,0.0,1.45651028376976,0.446375404537642,0.0145357718910487,protein_coding
ENSMUSG00000000142,10090.ENSMUSP00000051331,Axin2,True,False,3.71107579212365,-3.5753970218322,8.885672457942472e-184,,,,protein_coding
